timestamp,ID,race_ethnicity,database_language,survey_language,survey_completed_for_artist,What is your race/ethnicity?,Is English your primary language (or one of your primary languages?),How comfortable are you reading English?,How comfortable are you writing English?,Do you use a language other than English?,Is your primary language ASL/sign language (or one of your primary languages)?,Do you live with anyone that uses ASL?,Do you live with anyone that is D/deaf or hard of hearing?,Do you live with anyone that is hearing?,What is your primary language?,Do you live with anyone speaks this language?,Do you live with anyone that speaks English?,Which device do you most regularly use for emails and Zoom?,"Please list any other devices, apps, or software that you regularly use to access and use technology.",How comfortable are you using email?,How comfortable are you using Zoom?,Does anyone regularly help you use email and/or Zoom?,Do you have a helper?,helper_type,Does this person live with you?,What language(s) do they feel most comfortable using?,How comfortable are they reading English?,How comfortable are they writing English?,How comfortable are they using email?,How comfortable are they using Zoom?
1/25/2022 14:56:02,1001,Chinese,"English, Chinese",English,1,Asian,Yes,1,1,No,,,,,,,,phone,None. She needs help and has little interest,1,1,Yes,Yes,Family,No,English,5,5,5,5
3/17/2022 9:53:29,1002,Chinese,"English, Cantonese",English,0,Artist,Yes,3,5,Yes,No,,,,English but speaks chinese,Yes,Yes,tablet,,5,5,No,No,,,,,,,
2/16/2022 11:03:44,1003,White,English,English,0,Caucasian,Yes,3,2,No,,,,,,,,Ipad,,3,3,Yes,Yes,Non-CG staff,Yes,English,4,4,4,4
3/16/2022 10:07:22,1005,Chinese,English,English,1,asian,Yes,3,3,No,,,,,,,,tablet,no,1,3,No,No,,,,,,,
2/22/2022 10:44:37,1008,Latino,Spanish,English,1,doesn't want to answer,Yes,1,2,Yes,No,,,,Spanish and English,Yes,No,other,,1,1,No,No,,,,,,,
1/30/2022 22:35:19,1011,Filipino,English,English,0,Philipino,Yes,5,5,No,,,,,,,,computer,phone,5,5,No,No,,,,,,,
2/10/2022 13:29:45,1012,White,N/A,English,0,N/A,Yes,1,5,No,,,,,,,,other,No zoom,1,1,No,No,,,,,,,
1/25/2022 18:20:04,1013,White,English,English,0,White,Yes,5,5,No,,,,,,,,computer,Phone,5,5,No,No,,,,,,,
2/22/2022 6:03:44,1014,Japanese/White,English,English,0,Japanese/White,Yes,1,1,No,,,,,,,,phone,,1,3,Yes,Yes,Family,Yes,English,5,5,5,4
2/16/2022 12:53:21,1015,White,English,English,1,White,Yes,5,5,No,,,,,,,,other,none,1,1,No,No,,,,,,,
3/16/2022 11:04:17,1016,White,English,English,1,dont about it,Yes,4,2,No,,,,,,,,other,laptop,4,5,No,No,,,,,,,
1/25/2022 17:34:29,1017,Latino,Spanish,Spanish,1,Latino,Yes,4,4,Yes,No,,,,Spanish,Yes,Yes,Computadora / laptop,Mother's Ipad,4,4,Yes,Yes,Family,Yes,Spanish,4,4,4,4
2/23/2022 14:22:47,1018,White,ASL,English,0,White,Yes,5,5,Yes,Yes,Yes,Yes,No,,,,Ipad,Phone,4,3,Yes,Yes,Non-CG staff,Yes,Asl,5,5,5,5
2/9/2022 13:41:03,1020,White,ASL,English,0,White,No,5,4,Yes,Yes,No,No,No,,,,computer,Sorenson tv apple tablet,5,3,No,No,,,,,,,
2/10/2022 13:18:56,1021,Black,English,English,0,African American,Yes,1,4,No,,,,,,,,other,Laptop someone helps login,1,1,Yes,Yes,Non-CG staff,No,English,5,5,5,5
2/8/2022 14:10:02,1022,White,English,English,1,White,Yes,5,5,No,,,,,,,,computer,,1,2,Yes,Yes,Family,Yes,English,5,5,5,5
2/16/2022 14:52:38,1023,White,English,English,1,White,Yes,5,4,No,,,,,,,,computer,Android phone,3,5,No,No,,,,,,,
2/6/2022 19:01:11,1024,Chinese,Chinese,English,0,Asian,Yes,4,3,Yes,No,,,,English,Yes,Yes,Ipad,None,2,5,Yes,Yes,Family,No,English,5,5,5,4
2/4/2022 14:11:52,1025,Black,English,English,0,African American,Yes,5,5,No,,,,,,,,computer,Facebook zoom,5,5,No,No,,,,,,,
3/18/2022 11:38:33,1027,White,English,English,0,White,Yes,2,2,No,,,,,,,,other,no devices at all,1,1,No,No,,,,,,,
1/25/2022 17:16:58,1026,White,N/A,English,1,White/Non-Hispanic (2); White/Hispanic (1),Yes,2,1,Yes,No,,,,English (3); Spanish/Secondary Language (1),Yes,Yes,tablet,,1,4,Yes,Yes,Non-CG staff,No,English,5,5,5,5
3/24/2022 11:39:59,1029,White,English,English,1,na,Yes,4,2,No,,,,,,,,tablet,,3,2,No,No,,,,,,,
1/25/2022 20:42:43,1030,Chinese,"ASL, Mandarin, Cantonese",English,1,Asian,No,3,3,Yes,Yes,Yes,No,Yes,,,,computer,"Ipad , Iphone",3,5,Yes,Yes,Family,Yes,English / Cantoness,4,4,4,4
2/11/2022 16:54:35,1031,White,English,English,1,White,Yes,5,5,No,,,,,,,,tablet,I phone/ I Touch,4,5,No,No,,,,,,,
2/21/2022 10:37:12,1032,Black,English,English,1,African American,Yes,5,5,No,,,,,,,,computer,"phone, tablet",5,5,No,No,,,,,,,
2/23/2022 14:31:49,1033,White,ASL,English,0,White,Yes,2,2,Yes,Yes,Yes,Yes,No,,,,phone,,1,1,No,No,,,,,,,
1/26/2022 10:26:35,1034,White,English,English,0,While,Yes,1,5,No,,,,,,,,Ipad,iPhone,1,5,No,No,,,,,,,
2/6/2022 21:08:44,1035,White,N/A,English,1,white,Yes,5,5,No,,,,,,,,Ipad,iphone,4,4,No,No,,,,,,,
2/8/2022 14:26:36,1036,Latino,English,English,1,Mexican,Yes,5,5,Yes,No,,,,Spanish,Yes,Yes,computer,Phone,5,4,Yes,Yes,Family,Yes,Spanish and english,5,5,5,4
1/27/2022 10:47:28,1038,White,English,English,0,White,Yes,3,2,No,,,,,,,,phone,,2,3,No,No,,,,,,,
2/16/2022 16:27:15,1039,White,N/A,English,0,caucasian,Yes,1,1,No,,,,,,,,Ipad,,1,2,Yes,Yes,Family,Yes,english,1,1,1,1
1/26/2022 22:05:39,1040,Black,English,English,0,African American,Yes,5,5,No,,,,,,,,computer,,4,4,Yes,Yes,CG staff,No,English and Spanish,4,4,4,4
3/17/2022 11:32:00,1041,White,English,English,1,White,Yes,5,5,No,,,,,,,,computer,,5,5,Yes,No,,Yes,English,5,5,5,5
2/1/2022 18:15:24,1042,White,Spanish,Spanish,0,Mixta etnicidad,Yes,3,3,Yes,No,,,,Ingles,Yes,Yes,Computadora / laptop,ninguna,1,2,Yes,Yes,Family,Yes,Ingles,3,2,1,2
2/8/2022 11:12:16,1044,White,English,English,0,white,Yes,5,5,No,,,,,,,,computer,iPhone,4,4,Yes,Yes,Family,Yes,English,5,5,5,5
2/7/2022 8:26:39,1045,Middle Eastern,N/A,English,0,White,Yes,4,4,Yes,No,,,,English,Yes,Yes,computer,None,4,4,No,No,,,,,,,
2/9/2022 11:48:42,1046,White,English,English,1,White,Yes,4,4,No,,,,,,,,Ipad,"Kindle , phone, tablet, laptop",3,5,Yes,Yes,Family,Yes,English,5,5,3,3
